,0
147,9.128826
148,8.747535
149,12.385436
150,8.474793
151,11.23723
152,9.186271
153,9.428743
154,7.4984384
155,9.589057
156,7.6695285
157,10.346084
158,7.141852
159,8.347969
160,8.559765
161,9.720668
162,8.41876
163,8.684348
164,9.44523
165,9.848726
166,8.959926
167,10.034606
168,11.063381
169,7.2773814
170,8.394684
171,7.609998
172,5.977056
173,8.988881
174,9.762335
175,8.840404
176,6.70815
177,7.841833
178,5.961977
179,9.613187
180,6.7693944
181,10.7857485
182,8.984424
183,9.793844
184,8.452505
185,8.422439
186,11.261433
187,8.402068
188,10.39036
189,8.500622
190,9.038102
191,8.6886835
192,10.367299
193,8.293932
194,8.165234
195,10.367197
196,6.5292435
197,9.672799
198,5.1865087
199,3.186841
200,1.5806063
201,-0.5201474
202,-1.5739282
203,-1.529547
204,0.75033236
205,-2.010963
206,-0.47515967
207,0.11822271
208,0.0673176
209,1.5853317
210,-2.003801
211,-1.2786139
212,1.3742425
213,-2.3769252
214,-1.4033847
215,-0.7942156
216,-2.500844
217,-2.2249079
218,-0.96358544
219,-2.945882
220,-3.0379956
221,-2.5567942
222,-2.3420587
223,0.99070054
224,0.33429867
225,-2.3492727
226,-1.4865334
227,-1.390548
228,-0.23683897
229,2.600066
230,3.8770375
231,0.58159566
232,-0.77287585
233,0.50621456
234,-1.4362453
235,-2.6670089
236,-1.6510628
237,-2.226657
238,-3.4050217
239,-3.5605836
240,-1.5721868
241,-3.0449033
242,-1.9548432
243,-3.3067782
244,-1.3806771
245,-1.965984
246,-4.238254
247,-2.3141031
248,-2.5199258
249,-2.3265665
250,-2.3477
251,-3.2028627
252,-3.7587168
253,-2.0683932
254,-2.7241485
255,-3.5142682
256,-2.455434
257,-3.2019894
258,-4.0938163
259,-3.2653105
260,-4.963894
261,-2.7167685
262,-2.8423467
263,-2.970936
264,-4.335874
265,-4.0075397
266,-4.2279034
267,-4.9202094
268,-5.158324
269,-5.775088
270,-3.9678001
271,-6.6369853
272,-4.8568487
273,-7.4743776
274,-6.727933
275,-6.977745
276,-6.2427187
277,-4.5790524
278,-6.2283435
279,-6.312187
280,-4.5164137
281,-5.332657
282,-6.8280845
283,-5.627144
284,-4.5016007
285,-6.2627864
286,-3.695292
287,-4.2389503
288,-5.1849785
289,-2.399019
290,-2.8536792
291,-3.8226504
292,-3.6914952
293,-5.3076
294,-6.9972615
295,-4.99473
296,-4.698715
297,-1.5048275
298,-4.4386735
299,-6.063662
300,-4.4752264
301,-3.830046
302,-4.644756
303,-6.3699317
304,-4.7227306
305,-4.9804735
306,-5.777386
307,-6.1920977
308,-5.2386613
309,-4.534183
310,-4.3231378
311,-5.0000215
312,-7.0784507
313,-5.917919
314,-7.750843
315,-3.379645
316,-5.1055126
317,-5.6913457
318,-3.2563958
319,-3.592121
320,-6.5292225
321,-6.748705
322,-6.792204
323,-7.7069182
324,-6.079363
325,-5.436683
326,-6.2017055
327,-5.274179
328,-5.6819067
329,-5.8216605
330,-6.6280313
331,-4.202307
332,-8.022286
333,-6.139093
334,-5.1946683
335,-3.1158557
336,-5.6488094
337,-5.930331
338,-3.713168
339,-4.4043813
340,-4.74515
341,-5.0488462
342,-5.6970325
343,-4.154011
344,-5.880691
345,-3.4807596
346,-3.1806786
347,-3.5167444
348,-5.048416
349,-6.86356
350,-5.6548643
351,-5.1207767
352,-2.885386
353,-3.5987308
354,-3.6867862
355,-3.0229795
356,-7.6455345
357,-5.3347955
358,-5.549778
359,-5.29415
360,-3.3436756
361,-4.664172
362,-6.867012
363,-5.6796103
364,-4.1301355
365,-2.5602057
366,-9.121123
367,-4.6293054
368,-2.017018
369,-3.8824153
