#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
490680000,-233763.58184349537,66196.98498219537,-167566.5968613,300.91720011099136,302.72427970090536,230
490685000,-233914.28880021372,66020.32266951882,-167893.9661306949,300.11413138346455,302.84318208505374,230
490690000,-234008.06654023775,66465.57089653453,-167542.4956437032,302.1381336830253,302.2402614263341,230
490695000,-233558.25641112518,65173.05414012249,-168385.2022710027,296.2626315957224,302.0439551470012,230
490700000,-233207.4630208551,65664.57809442759,-167542.8849264275,298.49699335943035,302.5548417528606,229
490705000,-233520.9357315295,66431.72840934782,-167089.20732218167,301.984293043731,302.2598047303624,229
490710000,-232619.51578605105,65453.709565661906,-167165.80622038915,297.53843055955724,302.90289226284756,230
490715000,-233072.46880109818,65755.70571622258,-167316.7630848756,298.9112398513318,304.3990379224425,230
490720000,-233564.73295888444,65637.67659286503,-167927.05636601942,298.3747049420476,303.3398405903111,230
490725000,-232951.96837317385,65464.166835874785,-167487.80153729906,297.5859670519535,303.79416402018836,230
490730000,-232473.9849366292,65602.55310525943,-166871.43183136976,298.21504115144967,303.8671486268239,230
490735000,-235186.13686689874,66445.18935248209,-168740.94751441665,302.04548358465826,300.152756782543,230
490740000,-233973.84985998902,65658.6504300884,-168315.19942990062,298.4700474772784,302.90903333528485,230
490745000,-233212.0719741464,65537.37100992061,-167674.7009642258,297.9187374205169,302.6882949005935,230
490750000,-234173.88969720085,65735.72473235836,-168438.1649648425,298.8204106130892,299.9314967500196,230
490755000,-234514.41887533618,65882.91267653718,-168631.506198799,299.48949522569353,302.1129812721359,229
490760000,-233377.9710728787,65970.943397903,-167407.0276749757,299.8896638769437,300.7862860043432,230
490765000,-233115.17164634448,65670.5406783428,-167444.63096800167,298.52409797843495,304.3114988782027,230
490770000,-233495.44225967815,65601.99884547945,-167893.4434141987,298.2125216061687,303.0828377573392,230
490775000,-233648.43275883794,65750.97345792502,-167897.45930091292,298.8897280269264,301.384984751093,230
490780000,-233937.61057619588,66006.13984983171,-167931.47072636418,300.04965934759963,300.8581373122236,230
490785000,-233628.6136234093,65229.287087023724,-168399.32653638558,296.5182544302074,301.97202619239414,230
490790000,-233055.03905446385,66051.14098007709,-167003.89807438676,300.2542247688029,304.04784219022747,230
490795000,-233701.25265460322,66295.78781775979,-167405.46483684343,301.36633646741404,301.74640896195217,230
490800000,-233994.07474848325,65424.92509794352,-168569.14965053974,297.4075825846105,301.5310814512585,230
490805000,-233446.70531714708,65420.69543626925,-168026.00988087783,297.3883554559311,303.1184373754319,230
490810000,-234239.51918778173,65182.33331010066,-169057.18587768107,296.30481269883353,302.64002298645096,230
490815000,-233523.16906317743,65640.76575610478,-167882.40330707264,298.3887476111063,302.2062746791368,230
490820000,-233319.52039103117,65165.61498523684,-168153.90540579433,296.2288148039155,302.5088338421458,230
490825000,-233240.66467692307,65379.059197367285,-167861.6054795558,297.1990861042091,305.0716918147393,230
490830000,-233226.38979330938,65763.66932193586,-167462.72047137353,298.94744068335865,302.65940615973346,230
490835000,-233764.0706377565,64854.08523088317,-168909.98540687334,294.8126678078463,303.2138364984219,230
490840000,-233465.92874842254,65848.4805902337,-167617.44815818884,299.33297439612386,302.11150754120894,230
490845000,-234303.80092351837,66021.04494538484,-168282.75597813353,300.11741469359373,301.0150803928236,230
490850000,-234527.7463918624,65775.02535573323,-168752.72103612917,298.99906276094407,301.5985078328016,230
490855000,-233356.87169286795,65942.61297951412,-167414.25871335383,299.760879912208,302.23202217714027,230
490860000,-232978.03049831558,65875.07369860503,-167102.95679971055,299.45386092464935,302.73197514778553,230
490865000,-233554.720619709,65759.84137798689,-167794.8792417221,298.9300396767174,301.80703116609715,230
490870000,-233440.88864910766,65311.910100957684,-168128.97854815,296.8938408111343,303.090891787978,230
490875000,-233803.60424464894,65106.03906028019,-168697.56518436875,295.9579955130249,302.2906597769272,230
490880000,-234423.5767723401,65398.84971938236,-169024.72705295775,297.289049544011,300.30902978272707,230
490885000,-232756.12557157408,65950.85004192108,-166805.275529653,299.7983238193181,304.3374101235452,230
490890000,-233706.22308627144,65367.882186117116,-168338.34090015432,297.14827782446775,302.36632097097106,230
490895000,-234314.21103531774,65759.19408067456,-168555.0169546432,298.92709720290355,302.21867626531986,230
490900000,-233372.6815707481,66092.19785338908,-167280.48371735902,300.4408604496527,302.335151860983,230
