#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
510000,-232422.66221879073,65159.68005056493,-167262.9821682258,296.20183587240086,301.20245942644056,214
515000,-232455.5021989697,65411.477838612394,-167044.02436035732,297.3464542472976,300.61532267603695,214
520000,-232608.53622639808,65485.807266313,-167122.72896008508,297.68433977600455,302.46905424448806,214
525000,-232629.27537026932,65365.394090050366,-167263.88128021895,297.1369674769917,301.7616405042605,214
530000,-232587.16565711517,65792.35878638504,-166794.80687073013,299.07785679395727,302.2628041456776,214
535000,-231896.13704209425,65292.26873063343,-166603.86831146083,296.8045553827132,302.7534779687793,214
540000,-232368.58695684094,65375.929201652994,-166992.65775518795,297.18485781953785,303.21138281277524,214
545000,-232358.93630986218,64855.07782983096,-167503.85848003122,294.8171799483356,301.42159912532094,214
550000,-232382.51602577837,65641.04815338354,-166741.46787239483,298.3900313281588,301.6513814595539,214
555000,-232915.1367272979,64804.98151602381,-168110.1552112741,294.5894529228406,300.005512121727,214
560000,-232883.09762598807,65775.94780392529,-167107.14982206278,299.00325601124507,300.6381690579652,214
565000,-232341.0834681699,65614.78994638834,-166726.29352178157,298.27066718897544,301.71576515414046,214
570000,-233402.90056697442,65555.28127785539,-167847.61928911903,298.0001536312646,300.704265362572,214
575000,-232851.7501836787,65210.202938399365,-167641.54724527933,296.4315020113156,301.7653913694925,214
580000,-233063.79474549065,65282.06423117651,-167781.73051431414,296.7581679315939,301.3869178926257,214
585000,-232546.98059517355,65777.2921069637,-166769.68848820985,299.00936692258836,302.62708062087927,214
590000,-233176.14601569762,65816.44650420989,-167359.69951148774,299.18735435803615,300.61254174045797,214
595000,-233129.4913327142,65518.99232912832,-167610.4990035859,297.83519190606125,299.6776884785573,214
600000,-232996.69220912294,65348.07328589613,-167648.6189232268,297.05823084131015,301.2351057649283,214
605000,-232833.04634835804,65402.769857801264,-167430.27649055677,297.3068696468054,300.8306398202984,214
610000,-232197.76430117618,65554.57358276704,-166643.19071840914,297.9969366022024,301.80052425043704,214
615000,-231627.68257488264,65380.27720382949,-166247.40537105314,297.2046228985876,303.1594261079369,214
620000,-231726.41951748054,65060.01058791485,-166666.4089295657,295.74876001637364,303.877027675525,214
